No;Tipe_Soal;Job_Function;Tipe_Test;Job_Position;Module;Sub_Module_Learning_Point;Technical_Competency;Level_Competency;Question;A;B;C;D;Answer
1;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Apa yang dikerjakan?;;;Berikut adalah jenis dealer  dihandle oleh Sales officer new car adalah sebagai berikut, kecuali;Dealer Direct;Dealer Indirect;Showroom mobil bekas;Semua benar;C
2;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Apa yang dikerjakan?;;;Product yang dihandle oleh Sales Officer Multiguna adalah, kecuali ..;ACC Primary;ACC Flexi;ACC Priority;ACC Win;A
3;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Apa yang dikerjakan?;;;Yang merupakan Job Description dari  Sales Officer adalah ;Menjaga relasi dengan dealer ;Mencari aplikasi dari dealer rekanan;Menjaga kualitas booking;Semua benar;D
4;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Apa yang dikerjakan?;;;yang bukan merupakan target dari Sales Officer  antara lain ;First nine payment default (F9PD);Account Finance;Amount Finance;Unit Valid;B
5;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Apa yang dikerjakan?;;;Penjualan Dhika 9 bulan terakhir berjumlah 100 unit, pada akhir bulan Dhika memiliki 5 customer yang menunggak lebih dari 7 hari. Berapakah actual F9PD Dhika?;5%;95%;7%;9%;A
6;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Apa yang dikerjakan?;;;Budi calon customer ACC mengajukan kredit mobil. Harga mobil tersebut adalah 100 juta dan Budi membayar DP sebesar 25 juta. Berapakah Pokok Hutang dari aplikasi budi?;100 Jt;25 Jt;75 Jt;125 Jt;C
7;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Berikut adalah asuransi yang bisa dicover oleh ACC, kecuali ..;Asuransi  Kendaraan;Asuransi Perlindungan Jiwa;A dan B benar;A dan B salah;C
8;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Tabel patokan harga mobil yang digunakan oleh sales used car dalam pengajuan aplikasi adalah ;Tabel OTR;Tabel MRP;Tabel PDC;Tabel Diskon;B
9;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Pada dealer direct, angka yang menunjukan kontribusi ACC pada dealer tersebut adalah;MSTR;MSCP;DO Kredit;DO ACC;B
10;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Perbandingan antara Aplikasi valid ACC dibandingkan dengan total DO Dealer disebut dengan ;MSTR;MSCP;Interest;ACP;A
11;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Perjanjian pembiayaan syariah dengan jaminan fidusia disebut ;PPJF;Akad Hutang Piutang;Murabahah;Perjanjian Jaminan Fidusia;C
12;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Luxury Car merupakan pembiayaan kredit dengan nilai OTR sejumlah;> 500 Juta untuk new car;> 350 Juta untuk used car;semua jawaban benar;semua jawaban Salah;C
13;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Produk apa yang dijual ?;;;Salah satu dokumen yang tidak wajib diminta kepada customer untuk melengkapi persyaratan kredit adalah;KTP  ;NPWP;Cover Tabungan;Rekening Listrik;D
14;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana cara berjualan ?;;;Asuransi ACP (ACC Credit Protection) memberikan perlindungan terhadap .. , kecuali;Perlindungan Kematian;Perlindungan Penyakit tertentu;Perlindungan Kecelakaan;Perlindungan Kendaraan;D
15;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana cara berjualan ?;;;yang tidak termasuk dalam Prinsip 3M dalam mejalin hubungan dengan dealer adalah;Mendapatkan;Menjaga;Mengembangkan;Menghargai;D
16;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana cara berjualan ?;;;"Budi mengajukan kredit dengan kondisi sebagai berikut :
OTR: 100 Juta
DP 30%
Tenor : 3 Tahun
Bunga jual :  10% /tahun

Berapakah pokok Hutang Budi ?
";70 Juta;100 Juta;10 Juta;30 Juta;A
17;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana cara berjualan ?;;;"
Budi mengajukan kredit dengan kondisi sebagai berikut :
OTR: 100 Juta
DP 30%
Tenor : 3 Tahun
Bunga jual :  10% /tahun

Berapakah biaya Bunga pada aplikasi Budi ?
";30 Juta;21 Juta;10 Juta;9 Juta;B
18;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana cara berjualan ?;;;"Budi mengajukan kredit dengan kondisi sebagai berikut :
OTR: 100 Juta
DP 30%
Tenor : 3 Tahun
Bunga jual :  10% /tahun

Berapakah angsuran Budi perbulannya?
";2.527.778;3.361.111;2.777.778;1.944.444;A
19;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana cara berjualan ?;;;"Untuk mencari besarnya biaya asuransi kendaraan maka cara perhitungannya adalah %rate asuransi dikali dengan ..
"; MRP ; OTR ; Pokok Hutang ; Bunga ;B
20;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana cara berjualan ?;;;"Untuk mencari besarnya biaya asuransi ACP maka cara perhitungannya adalah %rate asuransi dikali dengan ..
"; MRP ; OTR ; Pokok Hutang ; Bunga ;C
21;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana cara berjualan ?;;;Yang wajib menandatangani FAP antara lain ;co-borrower;Dealer;Penjamin; Guarantor ;B
22;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana cara berjualan ?;;;Menggali informasi customer di awal adalah tahapan dalam proses ;AAV;Pra analisa;greeting call; Desk Call ;B
23;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana cara berjualan ?;;;Usia minimal calon customer yang sudah menikah adalah ;21 Tahun;17 Tahun;18 Tahun; 20 Tahun ;c
24;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana cara berjualan ?;;;BPKB beda nama, antara keponakan dengan Bibi/Paman, dengan syarat harus approval sampai siapa ?;RODH;RROH;BM; COO ;b 
25;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana proses taksasi ?;;;"Pentingnya taksasi kendaraan pada proses aplikasi used car adalah 
"; Memastikan kelayakan mobil yang dibiayai ; Menghindari sengketa hukum di kemudian hari ; Memastikan dokumen kendaraan lengkap dan masih berlaku ; Semua benar ;D
26;pilihanganda;SALES;Quiz;SO;NEOP SALES USED CAR / NEW CAR;Bagaimana proses taksasi ?;;;Salah satu bagian interior mobil yang dicek pada saat taksasi adalah; Ban ; Bemper ; Fender ; Kilometer ;D
27;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yuk, kenalan dengan ASTRA dan ACC;;;Visi, misi, dan nilai-nilai ACC adalah sebagai berikut:;"""Become the first choice financing company with total solution.""
To promote credit for better living
Customer satisfaction, quality, teamwork, integrity""";"""Become the first choice financing company with complete solution.
To promote credit for better living
Customer orientation, quality, teamwork, integrity""";"""Become the first total solution financing company
To promote credit for a living
Customer satisfaction, quality, teamwork, integrity""";"""Become the first choice financing solution.
To promote credit for better living
Customer satisfaction, quality, teamwork, integrity""";A
28;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yuk, kenalan dengan ASTRA dan ACC;;;Salah satu dalam ACC Values adalah Customer Satisfaction. Berikut ini yang termasuk dalam key behaviour Customer Satisfaction kecuali:;Memastikan proses interaksi yang menyenangkan dan mengesankan;Proaktif memberikan solusi secara tuntas;Belajar dari yang terbaik dan selalu berusaha mencapai yang lebih baik;Memenuhi janji secara bertanggung jawab;C
29;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yuk, kenalan dengan ASTRA dan ACC;;;Berikut ini adalah Catur Dharma ASTRA, kecuali:;Menjadi milik yang bermanfaat bagi bangsa dan negara;Sejahtera bersama bangsa;Memberikan pelayanan yang terbaik kepada pelanggan;Saling menghargai dan bekerja sama;B
30;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yuk, kenalan dengan ASTRA dan ACC;;;Berikut ini adalah bidang usaha dan beberapa perusahaan yang bergerak di bidang usaha tersebut, kecuali:;Otomotif: Isuzu, BMW, Astra Otoparts, ASPIRA;Agribusiness: Astra Agro Lestari, PAMA;Heavy equipment: UT,PAMA, Komatsu;Infrastructure & logistic: Sera, TRAC, Palyja, MTN;B
31;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yuk, kenalan dengan ASTRA dan ACC;;;Astra Internasional didirikan pada;20-Feb-57;15-Jul-82;17-Aug-57;16-Feb-82;A
32;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yuk, kenalan dengan ASTRA dan ACC;;;Berikut ini adalah penjabaran dari Quality secara tepat adalah:;Proses yang cepat dan akurat dengan mentalitas perbaikan secara terus menerus untuk hasil yang terukur dan terbaik;Selalu melakukan evaluasi sehingga prosesnya dapat berjalan dengan akurat dan menghasilkan yang terbaik;Proses dilakukan dengan benar sejak awal dan dipantau secara berkala sehingga sesuai dengan target yang ditetapkan bahkan melampaui;Selalu melakukan perbandingan dengan yang terbaik dan mendapatkan pembelajaran sehingga selalu dapat dilakukan perbaikan ke arah yang lebih baik;A
33;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yuk, kenalan dengan ASTRA dan ACC;;;Dalam Etika Bisnis, terdapat unsur PELANGGAN. Pelanggan bagi ACC adalah berikut,kecuali:;Dealer;Customer;Masyarakat;Vendor;C
34;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yuk, kenalan dengan ASTRA dan ACC;;;Yang merupakan product dari ACC adalah;Mobil;Multiguna;Pembiayaan mobil bekas;B dan C benar;b
35;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yuk, kenalan dengan ASTRA dan ACC;;;Salah satu lini Bisnis Astra adalah ;Perbankan ;Agribisnis ;A dan B benar ;Consumer goods ;b
36;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yuk, kenalan dengan ASTRA dan ACC;;;Ciri perusahaan pembiayaan, antara lain ;Keuntungan berdasarkan jumlah yang berhasil terjual ;keuntungan berdasarkan bunga ;Tanpa andanya pengelolaan piutang ;;b
37;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yuk, kenalan dengan ASTRA dan ACC;;;Salah satu PT yang menjadi struktur Grup ACC;PT. Swadharma Bhakti Staco Finance;PT. Pratama Selaras Finance ;PT. Sedaya Estika Selaras Finance ;PT. Swadharma Bhakti Sedaya Finance ;d
38;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yuk, kenalan dengan ASTRA dan ACC;;;COO pada tahun 2019 adalah ;Ezar Kumendong ;Tan Chian Hok;Siswadi ;Hendry Christian Wong ;a
39;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;Yuk, kenalan dengan ASTRA dan ACC;;;ACC Core Activities adalah ;HC, Sales, Operation, Risk ;Sales, Underwriting, Marketing, Cabang;Sales, Underwriting, AR, Service;tidak ada yang benar ;c
40;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;EBEK, AFMS dan PMN;;;Tolak ukur dalam membentuk budaya di ACC yang menjadi inti adalah ;ACC Values ;Visi & Misi ACC;Catur Dharma ;Satu Indonesia ;c
41;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;EBEK, AFMS dan PMN;;;Salah satu yang dimaksud pihak luar/ eksternal dari Etika bisnis adalah ;Afiliasi ;Karyawan ;Perusahaan ;Atasan ;a
42;benar_salah;General ;Quiz;ALL;WELCOMING KIT;EBEK, AFMS dan PMN;;;Etika kerja adalah interaksi yang terjadi dalam perusahaan dimana terjadi antara perusahaan dengan karyawan, hubungan karyawan dengan perusahaan dan hubungan antar karyawan ;;;;;benar 
43;benar_salah;General ;Quiz;ALL;WELCOMING KIT;EBEK, AFMS dan PMN;;;Etika bisnis adalah interaksi yang terjadi dalam perusahaan dimana terjadi antara perusahaan dengan karyawan, hubungan karyawan dengan perusahaan dan hubungan antar karyawan ;;;;;salah
44;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;EBEK, AFMS dan PMN;;;Dampak dari Fraud antara lain ;Ancaman kebangkrutan ;semua benar ;Timbulnya kerugian perusahaan ;reputasi ;b 
45;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;EBEK, AFMS dan PMN;;;AFMS di ACC  dibentuk pada tahun ;2009;2019;2010;2007;c
46;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;EBEK, AFMS dan PMN;;;Seluruh perusahaan pembiayaan wajib memiliki Fraud Control System, ini adalah peraturan OJK pada nomor ;35 tahun 2018;35 tahun 2010;37 tahun 2018;37 tahun 2010;a
47;pilihanganda;General ;Quiz;ALL;WELCOMING KIT;EBEK, AFMS dan PMN;;;Sarana yang sudah disediakan untuk melaporkan segala tindak kecurangan dan deteksi adanya fraud di ACC bisa dilakukan di ;telepon ext compliance ;sms division head audit & compliance ;YUNA ;ACC Whistle ;d
